seq,datetime_utc,date_utc,time_utc,source_ip,event_name,user_agent,alert_type,token_id,placement,channel,city,region,country,asn,org,infra_type,ua_os,ua_python,ua_boto3,ua_retry_mode,tool_signature,intent_phase,intent_description
14,2026-08-27T13:21:00Z,2026-08-27,13:21,182.4.101.162,GetUser,"Boto3/1.43.81 md/Botocore#1.43.81 ua/2.1 os/windows#10 md/arch#amd64 lang/python#3.11.2 md/pyimpl#CPython m/Z,e,b,E cfg/retry-mode#standard Botocore/1.43.81",ip_triggered,1,.env,email,Yogyakarta,Yogyakarta,ID,AS23693,PT. Telekomunikasi Selular,residential/mobile,windows#10,3.11.2,1.43.81,standard,,reconnaissance,"Enumerates the account's identity, permissions, roles, regions or limits"
15,2026-08-27T13:29:00Z,2026-08-27,13:29,202.179.188.22,GetServiceQuota,"Boto3/1.43.81 md/Botocore#1.43.81 ua/2.1 os/windows#10 md/arch#amd64 lang/python#3.11.2 md/pyimpl#CPython m/Z,e,D,b cfg/retry-mode#legacy Botocore/1.43.81",ip_triggered,1,.env,email,Jakarta,Jakarta,ID,AS38750,"Telemedia Dinamika Sarana, PT",residential/ISP,windows#10,3.11.2,1.43.81,legacy,,reconnaissance,"Enumerates the account's identity, permissions, roles, regions or limits"
16,2026-08-27T13:52:00Z,2026-08-27,13:52,202.179.188.22,ListRoles,"Boto3/1.43.81 md/Botocore#1.43.81 ua/2.1 os/windows#10 md/arch#amd64 lang/python#3.11.2 md/pyimpl#CPython m/D,e,C,b,Z cfg/retry-mode#legacy Botocore/1.43.81",ip_triggered,1,.env,email,Jakarta,Jakarta,ID,AS38750,"Telemedia Dinamika Sarana, PT",residential/ISP,windows#10,3.11.2,1.43.81,legacy,,reconnaissance,"Enumerates the account's identity, permissions, roles, regions or limits"
17,2026-08-28T06:39:00Z,2026-08-28,06:39,45.13.237.250,Converse,"Boto3/1.43.81 md/Botocore#1.43.81 ua/2.1 os/linux#5.10.0-46-amd64 md/arch#x86_64 lang/python#3.11.16 md/pyimpl#CPython m/E,Z,b,e cfg/retry-mode#standard Botocore/1.43.81",ip_triggered,5,terraform.tfvars,email,Frankfurt am Main,Hesse,DE,AS58087,Florian Kolb,,linux#5.10.0-46-amd64,3.11.16,1.43.81,standard,,resource-abuse,"Attempts to run AI models on AWS Bedrock at the victim's expense (LLMjacking), via the Bedrock Converse chat API"
18,2026-08-28T06:47:00Z,2026-08-28,06:47,45.13.237.250,GetCallerIdentity,"Boto3/1.43.81 md/Botocore#1.43.81 ua/2.1 os/linux#5.10.0-46-amd64 md/arch#x86_64 lang/python#3.11.16 md/pyimpl#CPython m/D,Z,b,e cfg/retry-mode#legacy Botocore/1.43.81",ip_triggered,5,terraform.tfvars,email,Frankfurt am Main,Hesse,DE,AS58087,Florian Kolb,,linux#5.10.0-46-amd64,3.11.16,1.43.81,legacy,,validation,Confirms the stolen key is live and reveals which account/identity it belongs to
19,2026-08-28T07:43:00Z,2026-08-28,07:43,197.57.31.248,GetCallerIdentity,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",ip_triggered,4,settings.yaml,email,Cairo,Cairo,EG,AS8452,TE-AS,,,,,,,validation,Confirms the stolen key is live and reveals which account/identity it belongs to
20,2026-08-28T08:04:00Z,2026-08-28,08:04,81.31.232.169,InvokeModel,bedrock-direct-test/1.0,ip_triggered,1,.env,email,Los Angeles,California,US,AS401443,WAP.AC LLC,,,,,,,resource-abuse,Attempts to run AI models on AWS Bedrock at the victim's expense (LLMjacking)
21,2026-08-28T08:38:00Z,2026-08-28,08:38,142.202.254.134,ListFoundationModels,"Boto3/1.43.80 md/Botocore#1.43.80 ua/2.1 os/linux#6.12.43+deb13-amd64 md/arch#x86_64 lang/python#3.13.5 md/pyimpl#CPython m/e,Z,b,D cfg/retry-mode#legacy Botocore/1.43.80",ip_triggered,5,terraform.tfvars,email,Valletta,Valletta,MT,AS203020,HostRoyale Technologies Pvt Ltd,,linux#6.12.43+deb13-amd64,3.13.5,1.43.80,legacy,,abuse-prep,Enumerates which Bedrock foundation models the account can reach - precursor to LLMjacking
22,2026-08-28T08:39:00Z,2026-08-28,08:39,216.74.114.166,Converse,"Boto3/1.43.80 md/Botocore#1.43.80 ua/2.1 os/linux#6.12.43+deb13-amd64 md/arch#x86_64 lang/python#3.13.5 md/pyimpl#CPython m/e,Z,b,D cfg/retry-mode#legacy Botocore/1.43.80",ip_triggered,5,terraform.tfvars,email,Los Angeles,California,US,AS13332,Hype Enterprises,,linux#6.12.43+deb13-amd64,3.13.5,1.43.80,legacy,,resource-abuse,"Attempts to run AI models on AWS Bedrock at the victim's expense (LLMjacking), via the Bedrock Converse chat API"
23,2026-08-28T08:40:00Z,2026-08-28,08:40,92.157.20.178,GetAccount,"Boto3/1.42.65 md/Botocore#1.42.65 ua/2.1 os/windows#10 md/arch#amd64 lang/python#3.9.7 md/pyimpl#CPython m/Z,E,b,e cfg/retry-mode#standard Botocore/1.42.65",ip_triggered,5,terraform.tfvars,email,La Motte-Servolex,Rhône-Alpes,FR,AS3215,Orange S.A.,,windows#10,3.9.7,1.42.65,standard,,reconnaissance,"Enumerates the account's identity, permissions, roles, regions or limits"
